uid,card_name,base_cost,upgrade_cost,type,base_description,upgrade_description,描述的描述,rarity,小作文与评审,实现器/执行器，见文档 
15 ,休息一下,2 ,2 ,技能,如果前一张牌没有执行，获得3能量,+获得1出牌次数,,普通,,1.执行判断；2.能量 
16 ,远交近攻,2 ,2 ,技能,跳过下一张牌，下下一张牌不消耗能量,Cost->1,,普通,,1.执行跳转；2.能量 
17 ,cosplay,3 ,3 ,技能,执行前一张牌2次,3次,注意，执行中要消耗前一张牌的cost,普通,,1.执行 
18 ,同一,2 ,2 ,技能,本次出牌的所有牌cost都变成1，且当作道具牌打出。消耗,本回合出牌的所有牌cost都变成1,,普通,三极虽殊，妙本同一,？覆盖执行器 
19 ,合并,0 ,0 ,技能,若前2张牌的稀有度和费用一致，视为一个栏位,若前2张牌的稀有度一致,执行两张牌在同一个位置，如果该位置被执行两次，则为两张牌分别执行两次，特殊显示,普通 ,,
20 ,乾坤大挪移,2 ,2 ,技能,将所有手牌放到弃牌堆，将弃牌堆的同等数量的牌随机放回手牌。,并非随机,,普通 ,,
21 ,我受够繁文缛节了,0 ,0 ,技能,手牌全部变为《球牌》，《变大》，《变快》，《变强》，且cost-1，消耗,变的牌都升级,这个是永久改变还是暂时改变？,普通 ,,
22 ,鼠鼠我啊,3 ,3 ,道具,让鼠标有碰撞,,一个小小的圆形的碰撞，什么都控制不了,普通 ,,
23 ,努力工作,3 ,3 ,技能,鼠标点击的积分效率提升5%,10%,,普通 ,,
24 ,自愿加班,1,1,技能, 本回合结束时间+5s, +10s,是否保守了？在初始卡牌里翻倍了,普通 ,,
25 , 更多,4 ,4 ,技能,出牌栏位加一 , 费用-1,,普通 ,,
26 ,正反馈,3,3,能力,每次撞击都让球加快0.01%，变大0.01% ,0.02%,原恶魔形态，还是不要重名的好.再考虑下数值？用加法？,普通 ,,
27 , 中毒,2,2,能力,使得球的撞击附带中毒效果，第五次中毒效果使得撞击伤害翻倍, 第十次，2^2，第20次2^4以此类推,,普通 ,,
28 , size is power,2,2,能力, 每变大25%，给予格外一点伤害，但速度降低1点, 每变大20%，给予格外一点伤害,,普通 ,,
29 ,再利用,1,1,技能, 随机选择弃牌堆的一张牌，替换此牌，执行两次，并将上一张牌执行的牌即刻丢弃, 固有,执行完一个就丢一个，改名了,普通,,同10 
30 ,瞬间的强大,3,3,主动, 2s时间里面，所有球分裂一次, 3s,,普通 ,,
31 ,影子战术,5,5,主动, 每个球都有25%的概率分裂出一个重影，重影的属性与该球属性相同，重影只存在于本回合,费-1,,普通 ,,
32 , 氮气加速,2,2,技能,  5s内加速100%, 6s,,普通 ,,
33 , 时间静止, 8, 8,技能, 这5s间，除了球以外的时间不再走动, 费-2,,普通 ,,
34 , 闪电, 4, 4,能力, 相同颜色的球之间形成电流，每次造成球25%的伤害（与其他电流牌产生联动，每使用额外一个电流牌伤害加5%）,  费-1,,普通 ,,
35 , 充电, 1, 1,技能, 获得两点能量（加入一张充电到手牌）, 加入两张放电到手牌,,普通 ,,
36 , 放电加速, 0, 0,技能, 放于充电后加入手牌 速度提升5%, 10%,,普通 ,,
37 , 雷暴！, 2, 2,主动, 将三张0费充电放到手牌 并使得下回合的出牌队列减1, 将四张0费充电放到手牌,,普通 ,,
38 , 神的祝福, 5, 5,道具, 选择两个球获得神的祝福，两个球有25%概率变成一个升级的球（下一局游戏的初始手牌+1） 消耗，本局游戏将不能再获得, 消耗一个球,,普通 ,,
39 , 支援未来, 3, 3,道具, 选择三个球 从现在消失，到下一个大回合归还，等级提升1, 四个球,,普通 ,,
40 , 板砖控！, 2, 2,技能, 生成两个无穷计数的板砖, 其中一个生成的位置可以选择, 描述：原来你喜欢平的吗？,普通 ,,
41 , 板砖控！plus, 5, 5,技能, 生成五个可以无穷级数的板砖 , 其中两个生成的位置可以选择, 描述：果然啊！,普通 ,,
42 , 砖块控！ change, 0, 0,技能, 如果对砖块控的砖块一次产生2^31以上的伤害 可获得这没有什么用只是一个证明 消耗！（本局不能再获得）, 下一局初始栏位加1,,普通 ,,
43 , 注意力是唯一你需要的, 2, 2,技能, 选择两个球速度提高25% 选择三个球速度降低25%, 选择三个球加速,,普通 ,,
44 , 迁移学习, 5, 5,技能, 将对一个球的加成，选择另一个球，完美复刻, 费-1,,普通 ,,
45 , R键, 99, 99,技能, 选择4张牌作为固有加入你的手牌，并从第一层重新开始，积分等保留,,99费粘液,普通 ,,
46 , 打折促销, 1, 1,技能, 下一个商店降价20%, 下一个商店降价 30%, 如果连续使用10张 下一个商店全免费,普通 ,,
47 ,反转了,0 ,0 ,反制,自动在回合前放在准备队列的第0位。保留：不可被扔出队列。执行效果，让接下来的执行顺序变从右到左,执行效果，让执行顺序变为随机,,普通 ,,
48 ,粘液,2 ,2 ,反制,自动在回合前放置在准备队列的空位，不可拖拽，可执行次数为2,可执行次数+1,不可拖拽比保留弱一点,普通 ,,
49 ,幻想杀手,0 ,0 ,反制,自动在回合前放在准备队列的第0位。不占用队列位。保留。执行效果，该队列不可使用能力牌，否则消耗能力牌,占用队列位,,普通 ,,
50 ,加一,3 ,3 ,主动,根据当前场上有多少砖块，给每个砖块加相应数值的生命,相应数值+1,,普通 ,,
51 ,保温杯,2 ,2 ,道具,如果该砖块是被鼠标点击消除，则鼠标点击的积分转换效率+5，最高+100,,,普通 ,,
52 ,绩效,2 ,2 ,道具,鼠标点击的积分转换效率提升每回合获得的积分超过目标积分的百分比的一半,,获得积分为120，目标积分100，获得效率提升为0.5*20%,罕见 ,,
53 ,降本增效,1 ,1 ,反制,回合开始时加入手牌。如果执行，该回合所需目标积分提升20%，如果打牌阶段没执行，回合所需目标积分提升50%,如果执行，该回合所需目标积分提升50%，如果打牌阶段没执行，回合所需目标积分提升80%,乘法结算,稀有 ,,
54 ,变高,1 ,1 ,技能,球碰撞获得的积分转换效率提升50%,50%-->60%,,罕见 ,,
55 ,幽魂形态,2 ,2 ,能力,等级3及以下球对砖块没有碰撞，进入和出砖块造成伤害,等级4及以下,路程增加但伤害翻倍,罕见 ,,
56 ,斩杀,4 ,4 ,主动,清除场上所有生命值低于10的砖块，并依照小球的积分转换效率获得积分,清除场上所有生命值低于20的砖块,,罕见 ,,
57 ,花样百出,1 ,1 ,技能,从通用牌库中获得2张能力牌，立即执行，如果能量不够，将牌扔到消耗牌堆,3张能力牌,"还是需要消耗能量
",罕见 ,,
58 ,美丽新世界,0 ,0 ,反制,保留，改变地形,,,罕见 ,,
59 ,极限,1 ,1 ,反制,如果不能打出，则在过关后扣除积分到恰好过这一关,并且不能购物,,罕见 ,,
60 ,有息贷款,4 ,4 ,能力,使用后如果积分不够过关，则贷取足够的钱，但是贷取的钱，利息为100%,利息为50%,,罕见 ,,
61 ,助学贷款(美国版),2 ,2 ,反制,如果该牌没有执行，则生成五个红色小球，但是每次打砖块都是扣除积分,生成10个小球,,罕见 ,,
62 ,雪糕,1 ,1 ,技能,5s内时间变慢（方便点击）-》7,7s-10s,,罕见 ,,
63 ,糕手,2 ,2 ,反制,如果该牌没有执行，两个方块变为糕形态，每一次被打击降低球速1%持续5s,10s,,罕见 ,,
64 ,辣条,3 ,3 ,主动,选择消耗20%积分的数量，给一个球加速50%,15%,,罕见 ,,
65 ,食物中毒,2 ,2 ,反制,如果该牌没有执行，使用过的食物类卡牌，每一张消耗200积分,300,,罕见 ,,
66 ,蘑菇,1 ,1 ,反制,如果使用积分加1，如果该牌没有执行，则数量变为2,数量变为3,,罕见 ,,
67 ,蝙蝠,2 ,2 ,反制,如果使用，随机将一张卡牌变为反制卡，如果不使用，则下个回合出牌阶段消失,在额外添加一张反制卡,封城（这也算食物的一种吗？）,罕见 ,,
68 ,巧克力,2 ,2 ,主动,选择一个球使用，速度越低效果越好,选择两个球,蜗牛的最爱,罕见 ,,
69 ,墨鱼,2 ,2 ,反制,如果不适用，则屏幕被几团墨鱼汁遮挡，墨鱼汁内的范围不能使用鼠标点击,墨鱼汁范围更大,,普通,错字 ,
70 ,台球,3 ,3 ,道具,球球间也可以进行碰撞,,,普通 ,,
71 ,数量制胜,5 ,5 ,技能,每一个球变为三个小球，体积减小80%，攻击力减小70%，速度减小70%,4个，费加一,,普通 ,,
72 ,无懈可击,4 ,4 ,道具,无效本个回合的一张反制牌,无效本个回合和下一回合的一张反制牌,,普通 ,,
73 ,饥荒,0 ,0 ,反制,自动在回合前放在准备队列的第0位。保留。存在本牌的准备队列长度始终保持为4,保持为5,准备队列在测试服没有长度限制,普通 ,,
74 ,瘟疫,1 ,1 ,反制,回合开始自动加入弃牌堆，如果没在本回合被执行，下回合生成2个随机反制牌,回合开始自动加入消耗牌堆,还好不是消失牌堆,普通 ,,
75 ,净化,0 ,0 ,技能,消耗手牌中的2张牌,3张牌,这个有意义吗？感觉都是如果没有被使用。作用是把牌放入消耗牌堆,普通 ,,
76 ,完全粘性,4 ,4 ,能力,蓝球（等级3）之间会产生完全粘性碰撞，但速度会相加，最多粘连2个,最多粘连3个,,普通 ,,
77 ,三段论,2 ,2 ,能力,黄球（等级2）连续三次碰撞同一块砖，造成1：3：9倍伤害,每次间隔一次也视为连续三次碰撞,砖甲，乙，甲，乙或丙，甲序列作数，配套55幽魂形态,普通 ,,
78 ,BounceTime,3 ,3 ,能力,红球碰撞墙之后的0.5秒内速度提升50%,红球碰撞墙之后的1秒内速度提升50%,,普通 ,,
79 ,天天向上,3 ,3 ,能力,紫球每造成45点伤害，自身速度和大小提升0.05%,紫球每造成30点伤害，自身速度和大小提升0.05%,,普通 ,,
80 ,阶级跨越,5 ,5 ,技能,50%的概率删除一个小球，50%的概率升级一个小球到满级（等级4）,cost5->4,,普通 ,,
81 ,幸运硬币,6 ,6 ,道具,运气+5，运气会影响所有的概率事件,运气+7,"影响的方式很之间，运气的基础数值为100，对概率的影响是选择其中一个正面的p,p*运气%,另一个为：1-p*运气%。如果有三个p,确认一个最好的p1,p1*运气%,(1-p1*运气%)*p2/(p3+p2),(1-p1*运气%)*p3/(p3+p2)

开始有运气属性了吗？",普通 ,,
82 ,完美收官,2 ,2 ,道具,如果倒计时结束前，清空场上所有的砖块，则结算积分*1.1,如果倒计时结束前，清空场上所有的砖块，则结算积分*1.15,,普通 ,,
83 ,大成功,7 ,7 ,技能,投掷一个20面骰，执行得到的点数的对应准备队列位置的牌的效果两次，如果是20点，所有牌的效果依次执行一次,cost7->6,20点的概率吃运气加成，执行牌的效果不等于执行牌，前者不消耗能量,稀有 ,,
84 ,算法,4 ,4 ,技能,随机检查到一张和编程相关的牌，并使用,两张,和你是否有这张编程牌无关,普通 ,,
85 ,六面骰,3 ,3 ,道具,每三回合投一次，设投中x，则幸运加（x-2），不受幸运影响,两回合,好运还是坏运？,普通 ,,
86 ,书签,5 ,5 ,道具,选择一张手牌使其变为固有,费-1,,普通 ,,
87 ,愚者,2 ,2 ,反制,如果准备阶段结束还在手牌，随机将你的准备序列打乱,并把准备队列中的一张，直接放入弃牌堆,,普通 ,,
88 ,C++,4 ,4 ,主动,加速球的速度200%，体积降低50%，持续时间10s,12s,降本增效C++,普通 ,,
89 ,弃牌堆？,3 ,3 ,技能,选择弃牌堆的一张牌，使用并将其消耗，消耗,不消耗,是“执行”，还是“执行其效果”,普通 ,,
90 ,星星,0 ,0 ,主动,选择任意数量的球，爆炸成10片星星，每一个星星可以撞击两次（后消失），每次造成3倍的伤害,4倍,数量变多？,普通 ,,
91 ,正义,5 ,5 ,能力,使用后消失 点击消失 但是球的伤害1.5倍,2倍,鼠标不是正义之举,普通,说清楚些 ,
92 ,倒正义,3 ,3 ,能力,只能使用鼠标，但是点击效率翻倍,翻三倍,辛苦你了,普通,不就是只能使用鼠标吗？你要清除球？对吧 ,
93 ,克苏鲁,1 ,1 ,反制,如果不使用，画面扭曲,给手牌加一张墨鱼,,普通,不好 ,
94 ,蛇眼,3 ,3 ,道具,每张牌执行时，cost随机改变，范围为0-7，不受运气影响,范围为0-6,,普通 ,,
95 ,葛朗台模式,1 ,1 ,道具,能量上限+1，你无法在商店里删牌,cost1->0,,普通 ,,
96 ,备份迁移,3 ,3 ,技能,本回合，所有红球的属性的一半加到黄球上,所有黄球的属性的一半加到蓝球上,,普通 ,,
97 ,并发,4 ,4 ,道具,第一个被成功执行的牌，效果执行两次,第一个和第二个被成功执行的牌，效果执行两次,,普通 ,,
98 ,先手必胜,1 ,1 ,道具,每回合开始，你多抽2张牌,每回合开始，你多抽3张牌,,普通 ,,
99 ,切西瓜,0 ,0 ,技能,本回合，鼠标点击变为按住鼠标左键后滑动造成伤害,,更适合触屏（这算致敬吧，不是,普通 ,,
100 ,pingpong,0 ,0 ,技能,本回合，球变成砖，砖变成球,依照关卡补偿积分,感觉这个还蛮有趣的。你来做这张牌怎么样？,普通,还没想好数值 ,
101 ,聚变,2 ,2 ,技能,消耗2个同等级球，升级一个球到该等级+1。,消耗2个同等级球。升级一个球到该等级+1。,注意是句号，所以就是没有两个球，也可以升级!未升级前特殊判定，如果没有两个同等级的球，先进行一次升级，再进行一次判定，如果有，则消耗两球。,普通,可以利用临时生成的球升级吗？可以的。 ,
102 ,数值理解,0 ,0 ,反制,保留。依照兰彻斯特方程，选择两个不同等级的球，设计两个封闭的房间生成不同生命的砖块，两个球分别在两个房间。必须且只能选择其中一个房间。禁用鼠标。猜测哪一个房间先被清空，如果猜对，获得1.5*目标积分，否则获得0.6*目标积分,如果猜对，获得1.5*目标积分，否则获得0.4*目标积分,可以看见两个球分别的数值，但砖块生命在打牌阶段都是不显示的，但如果该牌被执行，则显示砖块生命      什么鹰角小游戏,罕见,这才是真正的设计 ,
103 ,献祭,2 ,2 ,技能,随机消耗2个道具，升级2个球，摸1张牌,随机消耗3个道具，升级3个球，摸2张牌，加1点能量,为什么不是摸牌加能量？！？,普通 ,,
104 ,零钱罐,2 ,2 ,技能,随机消耗一个道具。抽1张牌，获得3点能量,cost2->1,,普通 ,,
105 ,遇见彩虹,3 ,3 ,道具,如果同时有4种颜色的球，每回合能量上限+1，每层出牌次数+1,如果同时有3种颜色的球，每回合能量上限+1，每层出牌次数+1,,普通 ,,
106 ,奖励,0 ,0 ,技能,如果前1张牌被成功执行，则获得2点临时能量,如果前1张牌被成功执行，则获得3点临时能量,临时能量：本次出牌有效，出牌结束消失，,普通,会优先使用临时能量吗？会的,在该位置和末尾插入效果：能量 
107 ,豪华套餐,6&4&2,6&4&2,技能,按照能量，自动选择执行下面三个效果：一、加1出牌次数，获得4能量，执行最后一张牌的效果1次；二、复制后一张牌的效果，执行效果两次；三、跳转到前两张牌的位置开始执行,6&4&2&0，四、跳过后一张牌执行,前一张牌的前一张牌,稀有,把一些牌合在了一起，看着很复杂，实际确实很复杂 ,
108 ,21点,0 ,0 ,技能,如果手牌区的牌的能量消耗总和为21，则本次出牌的效果结束后会反顺序再执行一次效果。抽2张牌,抽3张牌,执行效果不消耗能量，反顺序意味着如果47，则反向47，效果就是正向的，如果是随机执行，则根据之前的随机结果反过来执行,普通,我觉得没人能打出来21点 ,
109 ,道具收集,4 ,4 ,技能,获得三个没有任何作用的道具,费-1,啥是没有任何作用？,普通 ,,
110 ,铁索连舟,4 ,4 ,技能,选择两个板砖，他们中任意一个被撞击，则两个都会算撞击,费-2,保守了,普通 ,,
111 ,哀悼,5 ,5 ,道具,每有5个球消失（不管什么原因），鼠标伤害上升10%,,还是保守了,普通 ,,
112 ,能量回转,3 ,3 ,技能,每使用5点能量恢复一点能量,恢复3点,,普通 ,,
113 ,药瓶,3 ,3 ,道具,每失去5个道具，恢复三点能量,,,普通 ,,
114 ,打转块,5 ,5 ,技能,在固定高度生成一块可以左右平移的砖块（该砖块和墙壁等同）,费-1,太保守了,普通 ,,
115 ,缴械,2 ,2 ,反制,如果这张牌没有出牌阶段结束后还在手牌，则随机破坏两个道具,费+1,太激进了，别用双重否定！,普通 ,,
116 ,浩劫,0 ,0 ,反制,直接塞入出牌区域，随机摧毁随机（<3）数量的球。你可以选择同样数量的手牌摧毁。,直接塞入出牌区域，随机摧毁随机（<3）数量的球，但是在摧毁球后，你可以选择同样数量的手牌摧毁。,,普通 ,,
117 ,绿叶,4 ,4 ,技能,使等级最低的一球升级,使等级最低的两球升级,,普通 ,,
118 ,迷失,0 ,0 ,反制,嵌入，每次出牌，使牌的去向随机，但不会进入消失牌堆，不可升级,,可以去到抽牌堆,普通 ,,
119 ,炊事员,2 ,2 ,技能,如果该牌位于手牌区，且被执行，则获得4点能量，并抽2张牌,cost2->1,当出牌时，该牌在手牌区，一般情况下都算，除非是“替换”执行，即替换牌到准备队列中执行。复制执行，指向执行，效果执行都可,普通 ,,
120 ,添油加醋,9 ,9 ,道具,当能量发生变动时发挥效果：能量增加时则额外增加1点，不可升级，不可叠加,,就是强,稀有 ,,
121 ,突破地心,2 ,2 ,道具,能量可突破负数，但如果已经是负数，则不可以再能量减少,当效果触发时，获得1点能量,最特殊情况：当只有2点能量时，可执行3点能量的牌，如果升级，则此时为0能量，还可在此牌后在执行一次任意能量的牌，如果有120号道具，即可执行4点能量的牌,罕见,跟突破天际一样强，跟同一相性不合 ,
122 ,高风险,1 ,1 ,道具,生成一块固定生命值的砖，每次该砖受到伤害时，扣除一定积分。如果回合结束前该砖被清除，则获得生命值两倍的积分，且下回合会重新生成。该砖块每回合保留，且会重置生命值。不可被鼠标点击。,不会重置生命值,生命值随关卡变化而变化，位置随机,罕见,高回报 ,
123 ,小助“手”,2 ,2,主动,生成一个小助手帮你点击砖块，拥有与鼠标点击相同的伤害和积分转换效率，存在30s,生成一个小助手帮你点击砖块，拥有与鼠标点击相同的伤害和积分转换效率，存在30s，小手的移动速度增快,一个小鼠标，以固定速度跟踪砖块并以固定频率点击，点击一个砖块后会找到另一个砖块点击，以此作为攻击间隙。像植物大战僵尸的蜗牛,普通 ,,
124 ,不可逾越的线,1 ,1,主动,在场地中央生成一条存在20s的线，每当任意小球越过该线，临时获得10%的速度提升，但大小缩小2px,在场地中央生成一条存在20s的线，每当任意小球越过该线，临时获得15%的速度提升，但大小缩小2px,,普通 ,,
125 ,动能回收,2 ,2,能力,每成功执行3张牌，立即获得1点能量,固有。每成功执行3张牌，立即获得1点能量,立即获得能量意味着可能会扰乱执行，与判断不执行的牌冲突,普通 ,,
126 ,弹性碰撞,3 ,3,道具,使同等级的球相互之间具有碰撞,使每个球相互之间具有碰撞,初始生成时不具有，在生成结束后才能生效,罕见 ,,
127 ,燃尽,2 ,2,技能,每次碰撞都会使自身大小减少1，但速度会提升2，且伤害*1.1，当大小小于一定程度，球会消失,每次碰撞都会使自身大小减少1，但速度会提升5，且伤害*1.1，当大小小于一定程度，球会消失,,普通 ,,
128 ,成本,0,0,技能,消耗一定积分，随机将手牌中的一张牌升级。,消耗一定积分，选择手牌中的一张牌升级。,如果积分不够，不能成功执行。如果手牌中的牌全部都已经升级，则不消耗积分，但成功执行？优先选择未升级的牌。,普通 ,,
